Инструмент;Basic_Cluster_Name;DET;LAM;diag_entr;Доходность;Волатильность;Sharpe Ratio;Категория
XOM;Смешанные;0,368;0,3009;0,7330999970436096;1,0;0,15030303030303033;1,0;Worst
CVX;Смешанные;0,2955;0,1578;0,1678999960422516;0,9280126715033762;0,1357575757575758;0,8946053648962112;Worst
BP;Смешанные;0,8766;0,914;1,7381000518798828;0,8586885350473821;0,15515151515151515;0,736275501100339;Worst
GLD;Стабильные;0,4752;0,4543;0,832099974155426;0,7033125268523678;0,0;0,47915303634092665;Worst
SLV;Стабильные;0,9563;0,9726;2,2808001041412354;0,733382019373104;0,11393939393939394;0,5242669362992922;Worst
DIA;Стабильные;0,2781;0,0779;0,5367000102996826;0,6662510998917462;0,03515151515151517;0,350799976208886;Worst
PALL;Стабильные;0,1892;0,0905;0,0;0,7442500755149557;0,27636363636363637;0,5034794504252661;Worst
FCX;Стабильные;0,6308;0,5946;0,9857000112533569;0,7285453099115021;0,29575757575757583;0,4819187533456254;Worst
SPY;Стабильные;0,2083;0,0318;0,0;0,6112236799891935;0,0690909090909091;0,22268482721703442;Worst
IVV;Стабильные;0,2041;0,0316;0,0;0,6112053875465051;0,0690909090909091;0,2225361327544162;Worst
VOO;Стабильные;0,1935;0,0348;0,0;0,6109905686041647;0,0690909090909091;0,2214357937310414;Worst
HMC;Стабильные;0,9325;0,9494;2,2246999740600586;0,60324254653316;0,09333333333333334;0,2299708558853268;Worst
MSFT;Стабильные;0,3284;0,125;0,8486999869346619;0,5713583498903392;0,153939393939394;0,21926485457681552;Worst
AAPL;Стабильные;0,3164;0,1689;0,8568999767303467;0,5684273377272719;0,15636363636363637;0,21581514304407304;Worst
TM;Стабильные;0,3316;0,2276;0,3984000086784363;0,5663030691904609;0,09333333333333334;0,14372806756676382;Worst
QQQ;Стабильные;0,2326;0,0417;0,5623000264167786;0,5291093737980928;0,1296969696969697;0,11342413608517216;Worst
GOOG;Хаотичные;0,3206;0,274;0,44179999828338623;0,49890198440170586;0,18060606060606066;0,11987747576280261;Worst
F;Хаотичные;0,9635;0,9758;2,3922998905181885;0,47160778376268986;0,25818181818181823;0,15107357402010346;Worst
GM;Хаотичные;0,7204;0,7097;1,3251999616622925;0,46118296757828703;0,21939393939393942;0,10250996252899541;Worst
PLAT;Хаотичные;0,8058;0,8356;1,6181999444961548;0,46090717382698543;0,1866666666666667;0,06536608576696601;Worst
GAZP.ME;Хаотичные;0,4;0,1753;0,0;0,6359592838367977;0,6181818181818182;0,3154106941057515;Worst
AMZN;Хаотичные;0,2706;0,0929;0,3046000003814697;0,42119240460256624;0,2666666666666667;0,09308273359900077;Worst
META;Хаотичные;0,1818;0,038;0,0;0,3117778002915535;0,37575757575757573;0,06161898530898713;Worst
TSLA;Хаотичные;0,0;0,0286;0,0;0,24315018376869352;0,38303030303030305;0,0;Worst
LUKOY;Хаотичные;0,9991;0,9986;4,011000156402588;0,0;1,0;0,13772081127698804;Worst
