Инструмент;Доходность;Волатильность;Sharpe Ratio
AAPL;-26,8375;0,0225;-0,7584
GOOG;-41,6605;0,0245;-1,081
MSFT;-26,2126;0,0223;-0,7468
AMZN;-58,2284;0,0316;-1,1711
META;-81,5559;0,0406;-1,2769
XOM;65,175;0,022;1,8785
CVX;49,8271;0,0208;1,5241
BP;35,047;0,0224;0,9917
GAZP.ME;-12,4395;0,0606;-0,4235
LUKOY;-148,0278;0,0921;-1,021
TSLA;-96,1875;0,0412;-1,4841
F;-47,4797;0,0309;-0,9761
GM;-49,7023;0,0277;-1,1394
TM;-27,2904;0,0173;-1,0008
HMC;-15,5847;0,0176;-0,5629
GLD;1,9204;0,0096;0,1271
SLV;8,3313;0,019;0,2788
PALL;10,6484;0,0324;0,2089
PLAT;-49,7611;0,025;-1,2643
FCX;7,3001;0,034;0,1364
SPY;-17,7133;0,0153;-0,7353
IVV;-17,7171;0,0153;-0,7358
VOO;-17,7629;0,0153;-0,7395
QQQ;-35,2202;0,0203;-1,1027
DIA;-5,9812;0,0125;-0,3045
